Relic Set,DESCRIPTION
"Lushaka, the Sunken Seas","(2) Increases the wearer's Energy Regeneration Rate by 5%. If the wearer is not the first character in the team lineup, then increase the ATK of the first character in the team lineup by 12%."
Messenger Traversing Hackerspace,"(2) Increases SPD by 6%.
(4) When the wearer uses their Ultimate on an ally, SPD for all allies increases by 12% for 1 turn(s). This effect cannot be stacked."
Musketeer of Wild Wheat,"(2) ATK increases by 12%.
(4) The wearer's SPD increases by 6% and Basic ATK DMG increases by 10%."
Pan-Cosmic Commercial Enterprise,"(2) Increases the wearer's Effect Hit Rate by 10%. Meanwhile, the wearer's ATK increases by an amount that is equal to 25% of the current Effect Hit Rate, up to a maximum of 25%."
Passerby of Wandering Cloud,"(2) Increases Outgoing Healing by 10%.
(4) At the beginning of the battle, immediately recovers 1 Skill Point."
"Penacony, Land of the Dreams",(2) Increases wearer's Energy Regeneration Rate by 5%. Increases DMG for all other allies with the same DMG Type as the wearer by 10%.
Pioneer Diver of Dead Waters,"(2) Increases DMG dealt to enemies with debuff by 12%.
(4) Increases CRIT Rate by 4%. The wearer deals 8%/12% increased CRIT DMG to enemies with at least 2/3 debuffs. After the wearer inflicts a debuff on enemy targets, the aforementioned effects increase by 100%, lasting for 1 turn."
Poet of Mourning Collapse,"(2) Increases Quantum DMG by 10%.
(4) Decreases the wearer's SPD by 8%. Before entering battle, if the wearer's SPD is less than 110/95, increases the wearer's CRIT Rate by 20%/32%. This effect also applies to the wearer's memosprite."
Prisoner in Deep Confinement,"(2) Increases ATK by 12%.
(4) For every DoT the target enemy is afflicted with, the wearer will ignore 6% of target's DEF when dealing DMG to them. This effect is valid for a max of 3 DoTs."
Rutilant Arena,"(2) Increases the wearer's CRIT Rate by 8%. When the wearer's current CRIT Rate reaches 70% or higher, the wearer's Basic ATK and Skill DMG increase by 20%."
Sacerdos' Relived Ordeal,"(2) Increases SPD by 6%.
(4) When using Skill or Ultimate on one ally target, increases the ability target's CRIT DMG by 18%, lasting for 2 turn(s). This effect can stack up to 2 time(s)."
Scholar Lost in Erudition,"(2) Increases CRIT Rate by 8%.
(4) Increases DMG dealt by Skill and Ultimate by 20%. After using Ultimate, additionally increases the DMG dealt by the next Skill by 25%."
"Sigonia, the Unclaimed Desolation","(2) Increases the wearer's CRIT Rate by 4%. When an enemy target gets defeated, the wearer's CRIT DMG increases by 4%, stacking up to 10 time(s)."
Space Sealing Station,"(2) Increases the wearer's ATK by 12%. When the wearer's SPD reaches 120 or higher, the wearer's ATK increases by an extra 12%."
Sprightly Vonwacq,"(2) Increases the wearer's Energy Regeneration Rate by 5%. When the wearer's SPD reaches 120 or higher, the wearer's action is Advanced Forward by 40% immediately upon entering battle."
Talia: Kingdom of Banditry,"(2) Increases the wearer's Break Effect by 16%. When the wearer's SPD reaches 145 or higher, the wearer's Break effect increases by an extra 20%."
The Ashblazing Grand Duke,"(2) Increases follow-up attack DMG by 20%.
(4) When the wearer uses follow-up attacks against the target enemy, increase the wearer's ATK by 6% for every time the follow-up attack deals DMG. This effect can stack for a maximum of 8 times and lasts for 3 turns. This effect is removed the next time the wearer uses a follow-up attack."
The Wind-Soaring Valorous,"(2) ATK increases by 12%.
(4) Increases the wearer's CRIT Rate by 6%. When the wearer uses a follow-up attack, increase the DMG dealt by their Ultimate by 36%, lasting for 1 turn(s)."
The Wondrous BananAmusement Park,"(2) Increases the wearer's CRIT DMG by 16%. When a target summoned by the wearer is on the field, CRIT DMG additionally increases by 32%."
Thief of Shooting Meteor,"(2) Increases Break Effect by 16%
(4) Increases the wearer's Break Effect by 16%. When the wearer inflicts Weakness Break on an enemy, regenerates 3 Energy."
Wastelander of Banditry Desert,"(2) Increases Imaginary DMG by 10%.
(4) When attacking debuffed enemies, the wearer's CRIT Rate increases by 10%, and their CRIT DMG increases by 20% against Imprisoned enemies."
"Watchmaker, Master of Dream Machinations","(2) Increases Break Effect by 16%.
(4) When the wearer uses their Ultimate on an ally, Break Effect for all allies increases by 30% for 2 turn(s). This effect cannot be stacked."
